hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,squawk,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
01809F,5A-GRR,MX,32.891006,13.288482,0,216,18,,0000,211,GMS211,,,,,,GMS,,B733,1687168558,en-route
0180A4,5A-TAJ,LY,41.199646,28.729065,464,358,298,,4103,750,CWN750,,,,,,CWN,,A320,1687168558,en-route
020044,CN-RNU,MA,34.923798,-6.789775,10309,25,933,,6440,774,RAM774L,AT774,GMMN,CMN,LFPO,ORY,RAM,AT,B738,1687168554,en-route
0200F8,CN-RGJ,MA,39.648075,8.907227,10668,276,761,,6632,273,RAM273,AT273,HECA,CAI,GMMN,CMN,RAM,AT,B738,1687168557,en-route
02010D,CN-NMH,MA,41.299404,2.073944,0,247,0,,0461,376T,MAC376T,,,,,,MAC,3O,A320,1687168556,landed
020118,CN-NMI,MA,35.714172,-5.734978,777,277,322,,2637,392,MAC392R,3O392,LEMD,MAD,GMTT,TNG,MAC,3O,A320,1687168551,en-route
02A0AD,TS-IFN,TN,36.791336,10.132542,1150,275,411,6.1,6153,,,,,,,,,,A332,1687168554,en-route
02A193,TS-IMT,TN,41.325214,28.724878,640,1,331,,2310,215,TAR215,TU215,LTFM,IST,DTTA,TUN,TAR,TU,A320,1687168554,en-route
02A197,TS-IMX,TN,37.718346,10.018277,8564,342,866,,6161,792,TAR792,TU792,DTTA,TUN,EGKK,LGW,TAR,TU,A20N,1687168557,en-route
02A1AF,TS-INP,TN,37.394531,10.340297,2552,188,488,,0461,777,LBT777,BJ777,LFST,SXB,DTTA,TUN,LBT,BJ,A320,1687168556,en-route
040159,ET-AVQ,ET,29.972239,31.575201,9753,307,872,,4555,3702,ETH3702,EY3702,HAAB,ADD,EBBR,BRU,ETH,EY,B77L,1687168472,en-route
04015C,ET-AVT,ET,22.321781,113.904411,0,160,24,,7122,3684,ETH3684,ET3684,EBLG,LGG,VHHH,HKG,ETH,ET,B77L,1687168551,en-route
04C2B6,5Y-PNI,KE,25.737942,54.128757,4876,110,668,,0721,303,ACP303,,,,,,ACP,8V*,B752,1687168552,en-route
05A026,8Q-MBA,MV,4.44127,73.400177,822,334,222,,0207,,,,,,,,,,DHC6,1687168548,en-route
05A02B,8Q-MBC,MV,3.533548,73.324455,815,279,227,,0227,,,,,,,,,,DHC6,1687168553,en-route
05A04B,8Q-TMK,MV,5.747681,73.340073,350,197,227,,0251,,,,,,,,,,DHC6,1687168558,en-route
05A07B,8Q-ISI,MV,5.168839,72.900337,373,1,238,,3413,,,,,,,,,,DHC6,1687168557,en-route
05A07D,8Q-TAJ,MV,5.454437,72.960159,190,240,138,,0262,,,,,,,,,,DHC6,1687168532,en-route
06A03E,A7-AEE,QA,25.144318,51.654308,1645,310,370,,5065,653,QTR653,QR653,VNKT,KTM,OTHH,DOH,QTR,QR,A333,1687168558,en-route
06A062,A7-BAC,QA,41.953621,32.445438,10363,286,879,,3262,7,QTR74J,QR7,OTHH,DOH,EGLL,LHR,QTR,QR,B77W,1687168556,en-route
06A066,A7-BBA,QA,25.560654,51.547192,2377,3,507,,2156,1,QTR1,QR1,OTHH,DOH,EGLL,LHR,QTR,QR,B77L,1687168552,en-route
